Concurso;Data do Sorteio;Coluna1;Coluna2;Coluna3;Coluna4;Coluna5;Coluna6;Ganhadores Faixa 1;Ganhadores Faixa 2;Ganhadores Faixa 3
1845;09/08/2016;3;9;13;29;30;51;0;75;4312
1846;11/08/2016;6;24;26;30;34;49;0;49;3189
1847;13/08/2016;1;6;45;49;50;57;0;44;3678
1848;17/08/2016;9;40;41;50;55;58;0;46;3330
1849;20/08/2016;3;5;11;27;35;44;0;194;11341
1850;24/08/2016;23;24;32;38;40;41;1;81;5935
1851;27/08/2016;8;18;21;22;35;37;0;40;3146
1852;31/08/2016;13;17;29;45;49;50;0;83;4187
1853;03/09/2016;1;2;34;39;41;45;1;28;2780
1854;08/09/2016;25;30;31;34;43;59;0;18;1548
1855;10/09/2016;6;10;15;24;38;39;0;55;4074
1856;14/09/2016;2;9;14;22;32;37;0;122;7199
1857;17/09/2016;13;23;25;35;52;53;0;198;5600
1858;20/09/2016;22;28;30;33;55;59;0;53;3799
1859;22/09/2016;1;13;14;21;26;51;0;88;6049
1860;24/09/2016;10;30;36;40;44;60;1;109;11392
1861;28/09/2016;2;4;9;35;45;60;0;41;3181
1862;01/10/2016;2;8;35;42;49;56;2;99;4549
1863;05/10/2016;16;23;45;56;58;59;0;31;2542
1864;08/10/2016;4;5;14;37;40;60;0;43;3530
1865;13/10/2016;1;5;31;32;37;42;0;38;3936
1866;15/10/2016;14;17;36;38;44;60;0;129;6185
1867;18/10/2016;3;10;17;21;22;43;0;96;6158
1868;20/10/2016;1;5;23;25;28;31;0;181;7846
1869;22/10/2016;11;23;24;26;40;52;0;66;4827
1870;26/10/2016;18;20;30;32;33;40;0;98;7040
1871;29/10/2016;3;11;17;33;52;58;1;275;15560
1872;03/11/2016;11;13;25;39;46;56;0;25;2790
1873;05/11/2016;5;25;28;41;53;54;0;27;3152
1874;08/11/2016;10;28;37;43;44;47;0;16;1933
1875;10/11/2016;1;45;47;52;53;55;1;45;2828
1876;12/11/2016;7;18;39;41;44;51;0;23;2308
1877;16/11/2016;13;16;23;24;32;35;0;90;4306
1878;19/11/2016;12;16;26;40;56;57;0;36;2981
1879;23/11/2016;5;10;20;57;58;59;1;103;4610
1880;26/11/2016;5;16;19;37;51;56;0;65;5045
1881;30/11/2016;3;10;30;44;53;56;1;44;4024
1882;03/12/2016;9;10;19;35;37;41;0;25;3054
1883;07/12/2016;16;27;28;47;59;60;0;30;2896
1884;10/12/2016;1;4;23;32;38;59;0;47;3839
1885;14/12/2016;7;14;18;23;32;59;0;88;6170
1886;17/12/2016;3;7;15;40;45;54;0;72;6962
1887;20/12/2016;11;23;34;41;46;56;0;54;3496
1888;22/12/2016;1;10;17;18;45;48;2;113;7195
1889;24/12/2016;16;23;25;28;30;44;0;49;3138
1890;31/12/2016;5;11;22;24;51;53;6;1665;124889
1891;04/01/2017;1;3;19;23;47;58;0;46;3488
1892;07/01/2017;6;17;22;30;37;50;0;31;2623
1893;11/01/2017;16;17;19;28;45;58;0;44;3162
1894;14/01/2017;21;31;35;53;54;57;0;37;2761
1895;18/01/2017;2;3;5;10;15;34;0;175;10199
1896;21/01/2017;3;6;14;15;21;25;1;133;7692
1897;25/01/2017;9;22;25;47;52;58;0;46;2873
1898;28/01/2017;12;34;45;53;55;58;0;32;2722
1899;01/02/2017;20;23;35;36;44;48;0;39;3023
1900;04/02/2017;8;11;27;28;43;46;0;87;5573
1901;08/02/2017;11;12;26;30;37;53;0;60;4645
1902;11/02/2017;2;7;9;18;21;25;3;367;13764
1903;15/02/2017;9;10;15;28;43;45;0;41;3205
1904;18/02/2017;12;15;18;21;51;56;0;82;4003
1905;21/02/2017;29;35;43;54;56;57;0;22;2351
1906;23/02/2017;6;27;33;39;40;60;0;54;3833
1907;25/02/2017;3;25;35;38;44;48;0;55;4353
1908;01/03/2017;4;10;13;23;27;57;0;95;5839
1909;04/03/2017;11;40;43;45;47;57;0;27;4423
1910;08/03/2017;6;9;15;22;39;48;1;219;10816
1911;11/03/2017;16;18;23;30;32;33;0;42;2817
1912;15/03/2017;10;13;33;35;36;42;1;43;4556
1913;18/03/2017;4;14;17;43;52;56;0;43;2960
1914;22/03/2017;16;29;33;39;42;44;1;27;2403
1915;25/03/2017;2;20;21;33;48;57;0;39;3429
1916;29/03/2017;3;9;18;23;50;52;0;100;5478
1917;01/04/2017;4;21;25;33;36;46;0;70;5412
1918;05/04/2017;16;17;20;22;38;50;0;67;5269
1919;08/04/2017;11;28;37;45;54;60;0;67;5858
1920;12/04/2017;25;31;33;39;43;45;0;90;6586
1921;15/04/2017;10;15;16;19;28;35;0;127;9277
1922;19/04/2017;20;22;36;38;41;43;0;124;8817
1923;22/04/2017;9;34;42;45;46;59;0;110;9351
1924;26/04/2017;12;16;30;52;53;58;1;188;11382
1925;29/04/2017;1;17;38;43;45;47;0;50;5258
1926;03/05/2017;2;3;14;20;30;46;1;95;6741
1927;06/05/2017;5;11;13;19;30;31;1;140;7385
1928;09/05/2017;10;26;28;51;53;59;0;28;1630
1929;11/05/2017;3;10;23;36;43;52;0;45;3225
1930;13/05/2017;4;17;18;37;52;56;0;50;4712
1931;17/05/2017;2;8;9;15;22;34;0;131;8918
1932;20/05/2017;10;16;21;29;44;55;0;72;5449
1933;24/05/2017;2;14;15;19;35;59;0;86;6417
1934;27/05/2017;8;23;35;39;56;59;0;105;6699
1935;31/05/2017;1;3;10;17;23;24;3;497;18964
1936;03/06/2017;3;12;24;40;51;52;0;43;2686
1937;07/06/2017;6;10;24;29;43;55;1;71;4055
1938;10/06/2017;10;16;32;40;42;54;0;24;2220
1939;14/06/2017;7;24;29;39;45;52;0;59;3620
1940;17/06/2017;9;13;16;17;36;47;0;95;6468
1941;21/06/2017;1;9;24;38;48;49;1;63;4313
1942;24/06/2017;6;18;20;24;43;48;0;56;4126
1943;28/06/2017;9;11;12;30;39;43;0;23;2870
1944;01/07/2017;8;9;39;47;57;59;0;41;2879
1945;04/07/2017;4;8;10;21;45;54;0;50;4258
1946;06/07/2017;4;6;39;44;52;60;0;40;3729
1947;08/07/2017;8;33;40;52;55;59;0;63;4250
1948;12/07/2017;12;20;24;28;33;57;0;100;7199
1949;15/07/2017;1;6;14;22;30;56;0;130;8455
1950;19/07/2017;10;21;32;34;48;57;0;88;7215
1951;22/07/2017;14;16;19;21;33;55;0;209;13551
1952;26/07/2017;9;21;36;38;52;53;0;180;13017
1953;29/07/2017;9;26;29;42;43;45;1;237;16988
1954;02/08/2017;9;25;33;35;40;49;0;32;2483
1955;05/08/2017;15;27;33;36;41;45;0;147;7391
1956;08/08/2017;5;8;20;28;40;45;0;74;5000
1957;10/08/2017;2;14;22;23;29;47;1;98;8329
1958;12/08/2017;15;20;22;24;34;55;0;32;2670
1959;16/08/2017;8;21;27;35;43;56;0;94;4639
1960;19/08/2017;1;18;25;37;39;43;0;116;6655
1961;23/08/2017;17;25;26;30;32;50;0;55;4505
1962;26/08/2017;5;6;15;25;39;53;0;86;6431
1963;30/08/2017;4;5;7;34;42;60;0;80;6686
1964;02/09/2017;2;27;32;36;48;50;0;119;7880
1965;06/09/2017;26;28;35;38;48;55;1;98;6377
1966;09/09/2017;10;13;19;32;40;60;0;29;2758
1967;13/09/2017;13;30;32;39;46;54;0;43;3175
1968;16/09/2017;35;36;39;44;48;52;0;48;3782
1969;19/09/2017;8;20;30;32;48;59;0;20;1999
1970;21/09/2017;5;10;18;24;39;52;0;87;6153
