CC,Data_Sorteio,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,Ganhador
2510,02/05/2022,1,2,5,7,11,13,14,16,17,19,20,22,23,24,25,2
2511,03/05/2022,1,3,4,5,6,8,9,11,15,16,18,21,23,24,25,3
2512,04/05/2022,1,2,3,7,9,10,12,14,15,16,18,19,20,21,23,2
2513,05/05/2022,2,3,4,6,7,9,11,12,16,17,19,20,21,23,24,2
2514,06/05/2022,2,3,5,6,7,8,9,12,14,15,16,18,19,21,24,2
2515,07/05/2022,4,5,7,8,9,11,12,14,15,16,19,21,22,24,25,1
2516,09/05/2022,1,2,3,5,7,8,10,11,14,15,16,17,21,22,24,2
2517,10/05/2022,1,2,3,5,6,9,10,12,14,15,16,20,21,23,24,2
2518,11/05/2022,1,2,4,5,6,8,11,13,14,15,20,22,23,24,25,1
2519,12/05/2022,2,3,4,5,8,10,11,12,13,14,18,19,22,24,25,1
2520,13/05/2022,1,2,4,5,6,7,8,10,14,15,16,18,23,24,25,3
2521,14/05/2022,2,3,4,6,7,8,13,14,16,17,18,21,22,24,25,4
2522,16/05/2022,1,2,3,5,9,10,12,13,15,16,18,19,21,22,25,4
2523,17/05/2022,1,4,5,6,7,10,11,12,14,15,17,18,20,23,24,1
2524,18/05/2022,1,2,3,5,6,7,12,14,15,16,19,20,23,24,25,1
2525,19/05/2022,4,6,10,11,12,13,16,17,18,19,20,21,23,24,25,2
2526,20/05/2022,1,2,6,8,11,12,13,14,16,17,19,20,22,23,24,2
2527,21/05/2022,1,2,5,6,9,11,12,13,14,17,18,19,20,21,23,5
2528,23/05/2022,2,3,5,7,8,9,10,11,12,13,15,20,22,23,24,4
2529,24/05/2022,3,5,6,8,9,11,12,13,14,16,18,21,22,24,25,2
2530,25/05/2022,1,2,4,6,7,8,9,11,13,15,21,22,23,24,25,0
2531,26/05/2022,1,2,3,4,5,7,8,11,12,16,17,18,20,21,25,3
2532,27/05/2022,1,2,3,4,6,9,10,12,13,14,16,17,18,22,25,1
2533,28/05/2022,4,7,8,10,11,12,15,16,17,18,19,22,23,24,25,0
2534,30/05/2022,7,8,10,11,12,14,15,16,17,18,20,21,22,23,25,5
2535,31/05/2022,5,6,7,8,11,12,13,14,15,16,18,20,22,24,25,0
2536,01/06/2022,1,2,4,6,9,12,13,15,16,17,18,19,21,23,25,4
2537,02/06/2022,2,4,5,6,7,9,10,12,14,16,18,19,22,23,24,3
2538,03/06/2022,1,2,4,5,6,8,9,13,14,16,17,21,22,24,25,1
2539,04/06/2022,1,3,4,5,6,9,10,13,16,17,18,20,23,24,25,1
2540,06/06/2022,1,3,5,6,7,8,11,12,14,18,20,21,22,23,24,3
2541,07/06/2022,2,4,7,8,11,12,13,14,16,17,18,19,20,22,25,1
